"filename", "language", "JSON", "JavaScript", "CSS", "XML", "Markdown", "HTML", "YAML", "comment", "blank", "total"
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\PhaseSelector.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\ProfileInfo.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\Rate.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 0, 11, 111
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\ReviewList.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\SmallCardTemplate.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 18, 83
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\Sortable.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\SubComment.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\details.js", "JavaScript", 0, 160, 0, 0, 0, 0, 0, 0, 19, 179
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\filter.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 1, 17, 125
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\login.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 12, 83
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\phaseTemplate.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 0, 46, 195
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\toolboxStepper.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\components\toolboxStepperPhase.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\css\customcss.css", "CSS", 0, 0, 167, 0, 0, 0, 0, 5, 46, 218
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\hooks\useFetch.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 3, 10, 34
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\pages\EditProfile.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\pages\Home.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\pages\Layout.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\pages\MethodCreator.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\pages\MethodSetCreate.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\pages\Methods.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\pages\MyProfile.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 14, 57
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\pages\Register.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\pages\methodSetCreator.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 18, 13, 72
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\services\Api.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 6, 19, 151
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\services\authApi.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 9, 71
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\services\userService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 30444, 3378, 212, 1, 38, 24, 31, 128, 685, 34941
